Species,Description.year,Extinction.year
Adelotus.brevis,1863,NA
Arenophryne.rotunda,1976,NA
Assa.darlingtoni,1933,NA
Austrochaperina.adelphe,1985,NA
Austrochaperina.fryi,1962,NA
Austrochaperina.gracilipes,1912,NA
Austrochaperina.pluvialis,1965,NA
Austrochaperina.robusta,1912,NA
Cophixalus.aenigma,2004,NA
Cophixalus.bombiens,1985,NA
Cophixalus.concinnus,1979,NA
Cophixalus.crepitans,1985,NA
Cophixalus.exiguus,1969,NA
Cophixalus.hosmeri,1985,NA
Cophixalus.infacetus,1985,NA
Cophixalus.mcdonaldi,1985,NA
Cophixalus.monticola,1994,NA
Cophixalus.neglectus,1962,NA
Cophixalus.ornatus,1912,NA
Cophixalus.peninsularis,1985,NA
Cophixalus.saxatilis,1977,NA
Cophixalus.zweifeli,1998,NA
Crinia.bilingua,1980,NA
Crinia.deserticola,1977,NA
Crinia.georgiana,1838,NA
Crinia.glauerti,1933,NA
Crinia.insignifera,1954,NA
Crinia.nimbus,1994,NA
Crinia.parinsignifera,1957,NA
Crinia.pseudinsignifera,1957,NA
Crinia.remota,1974,NA
Crinia.riparia,1965,NA
Crinia.signifera,1853,NA
Crinia.sloanei,1958,NA
Crinia.subinsignifera,1957,NA
Crinia.tasmaniensis,1864,NA
Crinia.tinnula,1966,NA
Geocrinia.alba,1989,NA
Geocrinia.laevis,1864,NA
Geocrinia.leai,1898,NA
Geocrinia.lutea,1963,NA
Geocrinia.rosea,1927,NA
Geocrinia.victoriana,1888,NA
Geocrinia.vitellina,1989,NA
Heleioporus.albopunctatus,1841,NA
Heleioporus.australiacus,1795,NA
Heleioporus.barycragus,1967,NA
Heleioporus.eyrei,1845,NA
Heleioporus.inornatus,1954,NA
Heleioporus.psammophilus,1954,NA
Hylarana.daemeli,1868,NA
Lechriodus.fletcheri,1890,NA
Limnodynastes.convexiusculus,1878,NA
Limnodynastes.depressus,1976,NA
Limnodynastes.dorsalis,1841,NA
Limnodynastes.dumerilii,1863,NA
Limnodynastes.fletcheri,1888,NA
Limnodynastes.interioris,1913,NA
Limnodynastes.lignarius,1979,NA
Limnodynastes.peronii,1841,NA
Limnodynastes.salmini,1867,NA
