Common Name,Name,First record,Last record,
Blue-breasted Quail,Coturnix chinensis chinensis,1819,2014,
Red Junglefowl,Gallus gallus spadiceus,1985,2014,
Lesser Whistling-duck,Dendrocygna javanica,1977,2014,
Barred Buttonquail,Turnix suscitator atrogularis,1819,2014,
Sunda Pygmy Woodpecker,Dendrocopos moluccensis moluccensis,1819,2014,
Rufous Woodpecker,Celeus brachyurus squamigularis,1819,2014,
White-bellied Woodpecker,Dryocopus javensis javensis,1819,2001,
Banded Woodpecker,Picus miniaceus malaccensis,1819,2014,
Crimson-winged Woodpecker,Picus puniceus continentis ,1819,1949,
Checker-throated Woodpecker,Picus mentalis humii,1819,1949,
Laced Woodpecker,Picus vittatus vittatus ,1819,2014,
Olive-backed Woodpecker,Dinopium rafflesii rafflesii,1819,1949,
Common Flameback,Dinopium javanese javanese,1819,2014,
Greater Flameback,Chrysocolaptes lucidus chersoneus,1819,1908,
Orange-backed Woodpecker,Reinwardtipicus validus xanthopygius,1819,1920,
Buff-rumped Woodpecker,Meiglyptes tristis grammithora,1819,1949,
Buff-necked Woodpecker,Meiglyptes tukki tukki,1819,1949,
Great Slaty Woodpecker,Mulleripicus pulverulentus,1819,1949,
Grey-and-Buff Woodpecker,Hemicircus concretus sordidus,1819,1949,
Lineated Barbet,Megalaima lineata hodgsoni,1996,2014,
Red-crowned Barbet,Megalaima rafflesii malayensis,1819,2014,
Blue-eared Barbet,Magalaima australis duvaucelii,1819,1949,
Coppersmith Barbet,Magalaima haemacephala indica,1957,2014,
Brown Barbet,Calorhamphus fuliginosus,1819,1949,
Oriental Pied Hornbill,Anthracoceros albirostris convexus,1819,2014,
Red-naped Trogon,Harpactes kasumba kasumba,1819,1921,
Diard's Trogon,Harpactes diardii sumatranus,1819,1921,
Dollarbird,Eurystomus orientalis orientalis,1819,2014,
Blue-eared Kingfisher,Alcedo meninting verreauxi,1819,2014,
Stork-billed Kingfisher,Halcyon capensis malaccensis,1819,2014,
White-throated Kingfisher,Halcyon smyrnensis fusca,1819,2014,
Collared Kingfisher,Todiramphus chloris humii,1819,2014,
Rufous-backed Kingfisher,Ceyx erithacus rufidorsa,1819,1949,
Ruddy Kingfisher,Halcyon coromanda minor,1819,1986,
Banded Kingfisher,Lacedo pulchella,1819,1949,
Rufous-collared Kingfisher,Actenoides concretus concretus ,1819,1938,
Blue-throated Bee-eater,Merops viridis viridis,1819,2014,
Banded Bay Cuckoo,Cacomantis sonneratii malayanus,1819,2014,
Plaintive Cuckoo,Cacomantis merulinus threnodes,1819,2014,
Rusty-breasted Cuckoo,Cacomantis sepulcralis sepulcralis,1819,2014,
Little Bronze Cuckoo,Chrysococcyx minutillus malayanus  ,1819,2014,
Violet Cuckoo,Chrysococcyx xanthorhynchus xanthorhynchus,1819,2014,
Drongo Cuckoo,Surniculus lugubris barussarum,1819,2014,
Asian Koel,Eudynamys scolopacea malayana,1819,2014,
Rhinortha,Rhinortha chlorophaea,1819,1895,
Black-bellied Malkoha,Phaenicophaeus diardi diardi,1819,1949,
Chestnut-bellied Malkoha,Phaenicophaeus sumatranus sumatranus,1819,2014,
Greater Coucal,Centropus sinensis bubutus,1819,2014,
Lesser Coucal,Centropus bengalensis javanensis,1819,2014,
