Name,First Record,Last Record
Eulaceura osteria kumana,1901,2017
Euripus nyctelius euploeoides ,1882,2017
Charaxes bernardus crepax ,1900,1961
Charaxes solon echo ,1876,2017
Polyura hebe plautus,1898,2017
Polyura schreiber tisamenus ,1900,2017
Prothoe franck uniformis,1956,1976
Badamia exclamationis ,1956,2017
Bibasis etelka ,1926,2017
Bibasis harisa consobrina ,1882,2017
Bibasis sena uniformis ,2002,2017
Choaspes plateni caudatus ,1926,1970
Choaspes subcaudatus crawfurdi,1956,1970
Hasora badra badra ,1900,2017
Hasora chromus chromus ,1956,2017
Hasora lizetta,1956,1970
Hasora schoenherr chuza ,1886,2017
Hasora taminatus malayana,1882,2017
Hasora vitta vitta ,1956,2017
Catopsilia pomona pomona,1910,2017
Catopsilia pyranthe pyranthe ,1882,2017
Catopsilia scylla cornelia ,1882,2017
Dercas verhuelli herodorus,1956,1970
Eurema ada iona,1956,1970
Eurema andersonii andersonii,1956,2017
Eurema blanda snelleni ,1882,2017
Eurema brigitta senna ,1945,2017
Eurema hecabe contubernalis ,1882,2017
Eurema sari sodalis ,1882,2017
Eurema simulatrix tecmessa,1956,2017
Gandaca harina distanti ,1882,2017
Curetis bulis stigmata,1956,1970
Curetis regula,1926,1957
Curetis santana malayica ,1956,2017
Curetis saronis sumatrana,1956,2017
Curetis sperthis sperthis,1956,1970
Chersonesia peraka peraka ,1956,2017
Chersonesia rahria rahria,1855,1970
Danaus chrysippus chrysippus ,1882,2017
Danaus genutia genutia ,1882,2017
Danaus melanippus hegesippus ,1928,2017
Euploea camaralzeman malayica ,1855,2017
Euploea crameri bremeri,1833,2017
Euploea eunice leucogonis,1952,1970
Euploea eyndhovii gardineri ,1956,2017
Euploea midamus singapura,1855,2017
Euploea mulciber mulciber ,1862,2017
Euploea phaenareta castelnaui ,1900,2017
Euploea radamanthus radamanthus ,1882,2017
Euploea tulliolus ledereri ,1956,2017
Idea leuconoe chersonesia ,1883,2017
Idea stolli logani ,1862,2017
Ideopsis gaura perakana,1882,1970
Ideopsis vulgaris macrina ,1882,2017
Parantica agleoides agleoides ,1955,2017
Acraea terpsicore ,2006,2017
Cethosia cyane ,2005,2017
Cethosia hypsea hypsina ,1901,2017
Cethosia methypsea ,1991,2017
Cirrochroa emalea emalea,1862,2017
Cirrochroa orissa orissa ,1882,2017
Cirrochroa tyche rotundata,2015,2017
Cupha erymanthis lotis ,1956,2017
Phalanta phalantha phalantha ,1910,2017
Terinos atlita teuthras ,1855,1926
Terinos terpander robertsia ,1862,2017
Vindula dejone erotella ,1862,2017
Acerbas anthea anthea,1862,1926
Ampittia dioscorides camertes ,1882,2017
Ancistroides gemmifer gemmifer,1862,1926
Ancistroides nigrita maura ,1882,2017
Astictopterus jama jama ,1862,2017
Baoris farri farri,1956,2017
Baoris oceia ,1956,2017
Borbo cinnara,1956,2017
Caltoris cormasa,1956,2017
Caltoris malaya,1956,2017
